ENERO 22,T.ESPAÑA,T.ESPAÑA,T.ESPAÑA,T.ESPAÑA,T.ESPAÑA,T.ESPAÑA,CATALUÑA,CATALUÑA,CATALUÑA,CATALUÑA,CATALUÑA,CATALUÑA,ARAGÓN,ARAGÓN,ARAGÓN,ARAGÓN,ARAGÓN,ARAGÓN,ILLES BALEARS,ILLES BALEARS,ILLES BALEARS,ILLES BALEARS,ILLES BALEARS,ILLES BALEARS,COMUNITAT VALENCIANA,COMUNITAT VALENCIANA,COMUNITAT VALENCIANA,COMUNITAT VALENCIANA,COMUNITAT VALENCIANA,COMUNITAT VALENCIANA,REGIÓN DE MURCIA,REGIÓN DE MURCIA,REGIÓN DE MURCIA,REGIÓN DE MURCIA,REGIÓN DE MURCIA,REGIÓN DE MURCIA,ANDALUCÍA,ANDALUCÍA,ANDALUCÍA,ANDALUCÍA,ANDALUCÍA,ANDALUCÍA,COMUNIDAD DE MADRID,COMUNIDAD DE MADRID,COMUNIDAD DE MADRID,COMUNIDAD DE MADRID,COMUNIDAD DE MADRID,COMUNIDAD DE MADRID,CASTILLA - LA MANCHA,CASTILLA - LA MANCHA,CASTILLA - LA MANCHA,CASTILLA - LA MANCHA,CASTILLA - LA MANCHA,CASTILLA - LA MANCHA,EXTREMADURA,EXTREMADURA,EXTREMADURA,EXTREMADURA,EXTREMADURA,EXTREMADURA,CASTILLA Y LEÓN,CASTILLA Y LEÓN,CASTILLA Y LEÓN,CASTILLA Y LEÓN,CASTILLA Y LEÓN,CASTILLA Y LEÓN,GALICIA,GALICIA,GALICIA,GALICIA,GALICIA,GALICIA,PRINCIPADO DE ASTURIAS,PRINCIPADO DE ASTURIAS,PRINCIPADO DE ASTURIAS,PRINCIPADO DE ASTURIAS,PRINCIPADO DE ASTURIAS,PRINCIPADO DE ASTURIAS,CANTABRIA,CANTABRIA,CANTABRIA,CANTABRIA,CANTABRIA,CANTABRIA,PAIS VASCO,PAIS VASCO,PAIS VASCO,PAIS VASCO,PAIS VASCO,PAIS VASCO,LA RIOJA,LA RIOJA,LA RIOJA,LA RIOJA,LA RIOJA,LA RIOJA,C. FORAL DE NAVARRA,C. FORAL DE NAVARRA,C. FORAL DE NAVARRA,C. FORAL DE NAVARRA,C. FORAL DE NAVARRA,C. FORAL DE NAVARRA,CANARIAS,CANARIAS,CANARIAS,CANARIAS,CANARIAS,CANARIAS
CARNE CERTIFICADA,"0,60","5,17","50,46","8,68","239.862,10","27.631,41","0,65","5,85","54,57","9,03","41.286,08","4.573,90","0,61","5,82","50,07","9,50","7.546,54","794,45","0,43","3,66","40,16","8,57","3.949,24","461,01","0,66","5,67","50,83","8,56","28.704,03","3.355,11","0,44","4,14","44,11","9,36","5.705,01","609,30","0,49","3,78","46,41","7,68","33.117,67","4.313,11","0,57","5,27","51,40","9,18","33.959,12","3.697,30","0,47","3,73","47,64","7,88","7.900,24","1.002,48","0,38","3,06","42,60","7,95","3.547,35","446,30","0,87","7,99","53,93","9,13","19.359,15","2.119,51","0,86","6,78","56,99","7,88","18.534,00","2.351,43","0,54","4,76","52,83","8,75","5.147,54","587,97","0,50","4,89","47,48","9,81","2.693,49","274,58","0,65","6,63","51,33","10,17","14.162,50","1.392,76","0,58","5,61","47,81","9,75","1.789,17","183,54","0,65","6,22","61,66","9,58","3.528,04","368,25","0,49","3,99","48,57","8,12","8.932,95","1.100,41"
CARNE FRESCA,"2,61","17,14","91,39","6,57","795.901,87","121.183,72","2,86","19,41","91,50","6,79","136.862,23","20.144,66","3,04","21,60","92,81","7,10","27.994,46","3.941,29","2,45","15,66","85,58","6,39","16.912,70","2.648,51","2,95","18,77","93,33","6,36","95.026,46","14.941,47","2,42","15,51","89,43","6,40","21.347,82","3.337,13","2,26","13,50","91,79","5,97","118.303,43","19.831,02","2,60","17,44","91,02","6,72","112.469,72","16.744,08","2,71","16,38","93,81","6,05","34.700,65","5.735,41","1,97","11,82","88,12","5,99","13.708,72","2.289,88","3,28","22,29","91,44","6,79","54.020,71","7.959,67","2,65","17,25","88,42","6,52","47.169,80","7.235,15","2,33","15,43","91,10","6,63","16.667,20","2.513,93","1,93","14,22","84,72","7,35","7.832,70","1.065,12","3,12","23,37","95,09","7,48","49.919,84","6.672,85","2,55","18,95","94,30","7,44","6.047,35","812,88","3,09","22,50","96,19","7,28","12.754,05","1.752,95","1,59","10,78","88,43","6,79","24.164,10","3.557,72"
SALCHICHAS FRESCAS,"0,03","0,20","9,10","7,93","9.395,84","1.184,35","0,05","0,42","15,36","8,59","2.963,35","344,85","0,08","0,62","24,42","7,69","807,30","105,00","0,02","0,16","3,49","9,61","174,02","18,12","0,02","0,12","6,78","6,90","594,33","86,14","0,02","0,14","6,21","7,54","195,71","25,95","0,01","0,10","6,12","7,59","914,04","120,45","0,02","0,14","6,06","7,84","933,42","119,06","0,03","0,21","11,09","7,46","446,46","59,85","0,02","0,12","7,89","7,27","143,80","19,79","0,05","0,36","16,50","7,63","864,72","113,27","0,01","0,08","5,49","7,30","225,77","30,92","0,02","0,13","9,65","6,69","137,99","20,62","0,02","0,15","7,80","7,78","82,46","10,60","0,03","0,29","10,20","8,62","619,32","71,86","0,02","0,21","12,10","9,52","65,58","6,89","0,05","0,40","16,17","7,39","224,22","30,35","0,00","0,00","0,44","5,46","3,37","0,62"
CARNE VACUNO,"0,37","3,82","57,41","10,25","177.520,46","17.321,46","0,39","4,27","58,11","10,88","30.087,16","2.765,80","0,36","4,05","56,68","11,23","5.243,75","467,14","0,36","3,63","53,35","10,16","3.918,28","385,64","0,32","3,05","55,24","9,55","15.441,66","1.616,38","0,30","3,10","51,51","10,32","4.266,42","413,49","0,23","2,25","49,14","9,74","19.692,69","2.022,18","0,48","4,89","66,24","10,20","31.554,47","3.092,90","0,28","2,99","50,38","10,74","6.329,74","589,54","0,20","1,98","41,94","9,76","2.294,05","235,05","0,51","5,04","65,84","9,89","12.216,11","1.235,45","0,49","4,56","57,86","9,38","12.476,95","1.329,87","0,41","4,32","54,13","10,51","4.669,89","444,19","0,56","5,91","58,66","10,58","3.257,07","307,95","0,56","6,39","69,94","11,38","13.645,05","1.198,82","0,34","3,91","68,94","11,56","1.248,18","107,97","0,46","5,02","62,01","10,95","2.848,33","260,23","0,38","3,72","59,53","9,81","8.330,67","848,85"
TERNERA,"0,27","2,79","47,08","10,28","129.492,30","12.598,14","0,34","3,75","53,25","11,14","26.470,70","2.375,98","0,26","2,98","47,84","11,38","3.860,25","339,12","0,26","2,54","41,66","9,74","2.744,96","281,97","0,22","2,08","46,05","9,56","10.517,23","1.099,59","0,23","2,23","42,50","9,87","3.062,95","310,47","0,17","1,67","39,44","9,75","14.610,16","1.497,91","0,31","3,15","49,57","10,13","20.305,46","2.004,22","0,21","2,16","44,09","10,44","4.567,38","437,63","0,15","1,45","30,24","9,92","1.684,90","169,86","0,40","3,96","58,46","9,88","9.591,50","970,87","0,44","4,11","55,09","9,34","11.234,14","1.203,03","0,36","3,80","51,43","10,51","4.107,85","390,72","0,34","3,46","37,87","10,05","1.905,81","189,58","0,37","4,16","57,05","11,17","8.890,78","795,78","0,26","2,85","56,58","10,84","910,25","83,97","0,32","3,49","53,62","10,82","1.980,36","182,97","0,12","1,36","28,14","11,52","3.047,64","264,47"
AÑOJO,"0,08","0,80","18,80","10,11","36.959,00","3.656,26","0,04","0,34","11,35","8,65","2.374,28","274,50","0,07","0,80","19,18","11,22","1.032,50","91,99","0,07","0,90","16,90","12,10","973,69","80,47","0,08","0,76","18,10","9,41","3.826,33","406,77","0,06","0,66","14,74","11,35","901,71","79,47","0,05","0,47","13,61","9,80","4.080,74","416,40","0,14","1,43","32,67","10,32","9.222,92","894,05","0,06","0,74","14,05","11,62","1.568,13","134,95","0,04","0,38","14,46","9,04","437,67","48,43","0,07","0,66","16,11","9,77","1.606,39","164,40","0,03","0,32","4,24","10,58","884,03","83,57","0,04","0,38","10,95","9,93","413,64","41,65","0,21","2,36","34,20","11,47","1.299,94","113,31","0,13","1,47","29,59","11,32","3.142,73","277,55","0,06","0,65","21,08","11,82","208,87","17,68","0,08","0,91","21,41","10,79","514,60","47,69","0,22","2,00","42,69","9,25","4.470,84","483,38"
MAYOR,"0,02","0,24","6,66","10,37","11.069,16","1.067,06","0,02","0,18","6,26","10,77","1.242,18","115,32","0,03","0,27","8,29","9,74","351,00","36,02","0,02","0,18","6,43","8,60","199,63","23,21","0,02","0,22","5,71","9,98","1.098,11","110,01","0,02","0,22","6,86","12,81","301,77","23,55","0,01","0,11","4,21","9,29","1.001,79","107,87","0,03","0,31","7,78","10,41","2.026,09","194,62","0,01","0,09","2,93","11,45","194,22","16,96","0,01","0,15","4,81","10,22","171,48","16,77","0,04","0,42","9,55","10,16","1.018,22","100,18","0,02","0,13","3,76","8,29","358,78","43,27","0,01","0,14","1,26","12,55","148,41","11,83","0,01","0,09","6,33","10,16","51,32","5,05","0,06","0,75","15,98","12,84","1.611,54","125,49","0,02","0,40","4,49","20,40","129,06","6,33","0,05","0,62","12,61","11,95","353,38","29,57","0,05","0,36","11,31","8,04","812,19","101,01"
CARNE POLLO,"0,97","4,58","75,59","4,71","212.717,15","45.134,73","1,01","4,95","76,20","4,88","34.879,73","7.146,52","1,09","5,36","82,44","4,93","6.944,81","1.408,52","0,94","4,41","67,45","4,70","4.760,21","1.012,00","1,11","5,04","79,73","4,52","25.502,81","5.637,22","1,06","5,03","75,34","4,74","6.923,25","1.459,88","0,95","4,35","77,91","4,58","38.110,36","8.314,48","1,00","4,69","75,28","4,69","30.270,90","6.458,83","1,14","5,01","78,30","4,40","10.615,43","2.410,49","0,80","3,69","70,93","4,60","4.278,73","930,06","1,08","4,97","77,13","4,59","12.050,04","2.622,84","0,77","3,54","71,39","4,62","9.678,02","2.094,02","0,83","3,70","68,99","4,46","3.997,11","896,25","0,67","3,33","59,83","4,95","1.836,32","371,13","1,05","5,51","77,29","5,27","11.777,40","2.234,88","0,82","4,17","70,44","5,08","1.331,47","262,22","1,05","5,49","74,34","5,21","3.110,09","596,73","0,57","2,97","67,56","5,20","6.650,50","1.278,66"
POLLO ENTERO,"0,23","0,81","20,80","3,48","37.569,13","10.780,36","0,24","0,83","20,79","3,42","5.821,67","1.703,31","0,34","1,37","32,15","4,07","1.778,41","436,68","0,21","0,70","20,21","3,40","759,75","223,75","0,32","1,05","25,45","3,30","5.333,11","1.617,36","0,29","1,06","23,01","3,61","1.459,28","404,34","0,22","0,78","23,01","3,48","6.856,19","1.970,58","0,16","0,55","15,00","3,44","3.552,19","1.032,22","0,34","1,05","27,73","3,12","2.222,83","712,08","0,12","0,39","14,17","3,18","452,93","142,24","0,29","1,07","22,74","3,64","2.595,72","712,55","0,27","0,99","22,63","3,72","2.705,02","727,97","0,13","0,46","10,65","3,63","497,48","137,23","0,13","0,51","9,22","3,82","281,69","73,79","0,15","0,54","14,67","3,67","1.145,58","311,77","0,24","0,86","20,43","3,56","273,84","76,96","0,23","0,73","18,75","3,19","415,61","130,42","0,16","0,63","22,37","3,86","1.417,83","367,11"
POLLO FILETES,"0,14","0,89","30,88","6,53","41.167,92","6.306,64","0,13","0,92","26,74","6,97","6.495,94","931,58","0,15","1,06","30,86","7,26","1.379,29","189,96","0,08","0,57","19,68","6,85","615,89","89,86","0,13","0,88","32,99","6,52","4.445,09","681,79","0,18","1,18","29,30","6,58","1.625,61","246,96","0,13","0,80","32,19","6,19","7.053,35","1.140,33","0,16","1,04","36,08","6,32","6.693,34","1.059,04","0,12","0,77","30,16","6,20","1.637,92","264,34","0,13","0,82","28,17","6,20","955,95","154,17","0,12","0,75","27,15","6,48","1.822,13","281,20","0,10","0,65","30,60","6,40","1.776,98","277,67","0,20","1,19","36,22","5,90","1.288,66","218,31","0,09","0,70","27,19","7,62","383,60","50,33","0,15","1,07","35,05","7,19","2.289,82","318,32","0,10","0,68","23,03","7,06","216,60","30,67","0,16","1,21","34,77","7,38","685,13","92,86","0,12","0,80","30,41","6,46","1.802,61","279,25"
