,T.ESPAÑA,T.ESPAÑA,T.ESPAÑA,T.ESPAÑA,T.ESPAÑA,T.ESPAÑA,CATALUÑA,CATALUÑA,CATALUÑA,CATALUÑA,CATALUÑA,CATALUÑA,ARAGÓN,ARAGÓN,ARAGÓN,ARAGÓN,ARAGÓN,ARAGÓN,ILLES BALEARS,ILLES BALEARS,ILLES BALEARS,ILLES BALEARS,ILLES BALEARS,ILLES BALEARS,COMUNITAT VALENCIANA,COMUNITAT VALENCIANA,COMUNITAT VALENCIANA,COMUNITAT VALENCIANA,COMUNITAT VALENCIANA,COMUNITAT VALENCIANA,REGIÓN DE MURCIA,REGIÓN DE MURCIA,REGIÓN DE MURCIA,REGIÓN DE MURCIA,REGIÓN DE MURCIA,REGIÓN DE MURCIA,ANDALUCÍA,ANDALUCÍA,ANDALUCÍA,ANDALUCÍA,ANDALUCÍA,ANDALUCÍA,COMUNIDAD DE MADRID,COMUNIDAD DE MADRID,COMUNIDAD DE MADRID,COMUNIDAD DE MADRID,COMUNIDAD DE MADRID,COMUNIDAD DE MADRID,CASTILLA - LA MANCHA,CASTILLA - LA MANCHA,CASTILLA - LA MANCHA,CASTILLA - LA MANCHA,CASTILLA - LA MANCHA,CASTILLA - LA MANCHA,EXTREMADURA,EXTREMADURA,EXTREMADURA,EXTREMADURA,EXTREMADURA,EXTREMADURA,CASTILLA Y LEÓN,CASTILLA Y LEÓN,CASTILLA Y LEÓN,CASTILLA Y LEÓN,CASTILLA Y LEÓN,CASTILLA Y LEÓN,GALICIA,GALICIA,GALICIA,GALICIA,GALICIA,GALICIA,PRINCIPADO DE ASTURIAS,PRINCIPADO DE ASTURIAS,PRINCIPADO DE ASTURIAS,PRINCIPADO DE ASTURIAS,PRINCIPADO DE ASTURIAS,PRINCIPADO DE ASTURIAS,CANTABRIA,CANTABRIA,CANTABRIA,CANTABRIA,CANTABRIA,CANTABRIA,PAIS VASCO,PAIS VASCO,PAIS VASCO,PAIS VASCO,PAIS VASCO,PAIS VASCO,LA RIOJA,LA RIOJA,LA RIOJA,LA RIOJA,LA RIOJA,LA RIOJA,C. FORAL DE NAVARRA,C. FORAL DE NAVARRA,C. FORAL DE NAVARRA,C. FORAL DE NAVARRA,C. FORAL DE NAVARRA,C. FORAL DE NAVARRA,CANARIAS,CANARIAS,CANARIAS,CANARIAS,CANARIAS,CANARIAS
CARNE CERTIFICADA,"0,52","4,88","46,87","9,43","226.567,20","24.016,14","0,52","5,67","48,74","10,82","39.973,51","3.693,06","0,56","5,62","46,41","9,99","7.275,60","728,02","0,69","6,68","46,59","9,66","7.221,41","747,34","0,46","4,11","48,07","8,91","20.822,21","2.338,15","0,47","4,14","46,13","8,74","5.702,76","652,55","0,42","3,52","45,16","8,39","30.864,76","3.678,34","0,47","4,74","42,21","9,98","30.554,95","3.060,79","0,53","4,41","49,56","8,34","9.349,37","1.120,69","0,49","3,63","43,55","7,39","4.212,57","569,81","0,74","7,08","48,09","9,54","17.139,21","1.796,24","0,76","6,23","52,63","8,25","17.014,69","2.063,22","0,60","6,13","56,66","10,21","6.612,94","647,82","0,41","4,13","50,05","10,13","2.275,60","224,59","0,56","6,41","43,15","11,51","13.679,19","1.188,62","0,56","5,19","45,61","9,28","1.655,81","178,36","0,58","6,53","44,18","11,23","3.703,24","329,84","0,45","3,80","49,49","8,52","8.509,38","998,70"
CARNE FRESCA,"2,29","16,66","89,31","7,29","773.524,38","106.093,64","2,53","19,98","91,09","7,91","140.858,13","17.817,39","2,78","21,01","88,20","7,56","27.222,82","3.600,46","2,71","20,13","90,54","7,42","21.748,22","2.929,92","2,25","15,44","91,11","6,86","78.171,13","11.391,96","2,33","16,09","88,91","6,91","22.162,20","3.207,72","1,91","12,67","89,33","6,62","111.018,54","16.775,47","2,32","17,09","89,34","7,35","110.241,09","14.988,90","2,38","15,97","88,75","6,72","33.840,15","5.039,43","1,80","11,37","85,78","6,33","13.190,77","2.083,16","3,10","22,54","91,17","7,26","54.583,19","7.518,99","2,20","15,23","87,77","6,91","41.606,14","6.019,39","2,34","18,29","86,64","7,83","19.744,28","2.520,62","1,70","12,68","84,23","7,46","6.977,55","934,79","2,73","23,49","89,90","8,62","50.146,71","5.819,31","2,66","21,09","94,79","7,93","6.722,72","848,18","2,91","23,59","84,86","8,12","13.378,78","1.647,78","1,32","9,78","83,90","7,43","21.911,95","2.950,16"
SALCHICHAS FRESCAS,"0,03","0,21","8,81","8,29","9.873,67","1.191,40","0,05","0,46","16,15","8,89","3.214,68","361,49","0,05","0,40","14,91","8,10","513,79","63,44","0,04","0,29","6,09","7,97","311,11","39,02","0,01","0,10","6,41","7,44","527,24","70,82","0,03","0,20","9,02","7,20","272,77","37,87","0,02","0,12","5,92","7,88","1.055,59","133,94","0,02","0,13","5,45","8,16","842,76","103,33","0,03","0,27","12,93","7,76","569,61","73,38","0,02","0,16","9,09","7,28","182,61","25,08","0,06","0,43","18,25","7,77","1.044,34","134,45","0,00","0,03","2,34","7,96","84,30","10,59","0,02","0,17","7,96","7,42","183,33","24,71","0,01","0,06","2,73","9,27","35,39","3,82","0,03","0,30","10,30","9,17","649,16","70,76","0,05","0,46","16,80","9,41","145,40","15,45","0,04","0,43","13,19","10,39","241,60","23,25","0,00","0,00","0,00",,"0,00","0,00"
CARNE VACUNO,"0,32","3,74","50,57","11,60","173.785,17","14.975,19","0,37","4,56","55,99","12,33","32.143,02","2.607,52","0,39","4,42","52,93","11,22","5.725,48","510,45","0,38","4,80","47,35","12,69","5.188,50","409,01","0,24","2,63","47,88","11,18","13.297,84","1.189,94","0,22","2,42","42,09","11,26","3.339,49","296,63","0,18","2,00","39,85","10,93","17.516,66","1.601,96","0,42","4,77","59,46","11,47","30.780,43","2.684,65","0,26","2,94","47,98","11,23","6.228,42","554,60","0,15","1,63","32,75","11,03","1.892,87","171,58","0,48","5,35","57,13","11,06","12.959,91","1.171,81","0,35","3,75","49,65","10,74","10.246,01","953,92","0,44","5,35","57,42","12,10","5.769,76","476,86","0,34","4,05","44,18","11,95","2.228,84","186,57","0,58","7,45","63,85","12,84","15.896,23","1.237,87","0,34","3,94","41,01","11,64","1.256,31","107,91","0,37","4,74","51,99","12,99","2.690,70","207,11","0,27","2,96","46,67","10,92","6.624,67","606,80"
TERNERA,"0,23","2,70","41,38","11,51","125.257,30","10.882,17","0,32","3,99","51,22","12,47","28.100,67","2.253,85","0,32","3,62","44,35","11,15","4.695,62","421,02","0,29","3,74","42,14","12,69","4.040,81","318,49","0,17","1,88","39,43","10,99","9.543,70","868,27","0,16","1,78","34,34","11,18","2.454,94","219,53","0,13","1,44","31,72","10,83","12.592,42","1.163,13","0,25","2,85","43,23","11,39","18.407,88","1.616,69","0,18","2,06","41,39","11,24","4.361,03","388,16","0,13","1,43","25,22","11,25","1.653,66","146,96","0,38","4,18","51,25","10,91","10.120,05","927,66","0,33","3,50","46,54","10,66","9.558,66","896,77","0,35","4,19","49,36","11,89","4.521,21","380,15","0,19","2,21","37,37","11,55","1.219,13","105,56","0,35","4,19","49,99","12,06","8.955,32","742,52","0,23","2,83","33,90","12,38","902,12","72,89","0,31","3,84","50,09","12,50","2.175,55","174,04","0,08","0,87","20,01","10,48","1.954,50","186,47"
AÑOJO,"0,07","0,83","15,40","11,62","38.306,75","3.297,47","0,03","0,40","9,29","11,78","2.809,63","238,56","0,04","0,41","13,20","11,50","530,51","46,14","0,08","0,97","10,85","12,90","1.046,81","81,12","0,06","0,65","14,50","11,62","3.289,48","283,15","0,05","0,61","18,14","11,49","845,84","73,65","0,04","0,47","12,01","11,22","4.160,57","370,74","0,14","1,65","27,34","11,41","10.647,82","933,11","0,06","0,71","12,40","11,04","1.515,26","137,20","0,02","0,20","8,93","9,71","233,39","24,03","0,07","0,82","9,89","11,18","1.984,74","177,53","0,01","0,13","4,00","12,05","354,41","29,41","0,06","0,77","16,99","13,69","833,66","60,88","0,11","1,33","13,71","12,56","730,44","58,15","0,18","2,33","30,79","12,95","4.974,88","384,05","0,07","0,69","8,41","9,22","218,48","23,71","0,03","0,42","13,20","12,30","240,60","19,57","0,16","1,74","29,33","10,91","3.890,22","356,47"
MAYOR,"0,02","0,22","4,81","12,85","10.221,12","795,55","0,02","0,17","4,58","10,71","1.232,72","115,11","0,03","0,39","6,00","11,53","499,36","43,29","0,01","0,09","3,73","10,73","100,88","9,40","0,01","0,09","2,87","12,06","464,65","38,52","0,00","0,03","1,63","11,24","38,71","3,45","0,01","0,09","3,15","11,21","763,67","68,10","0,02","0,27","6,99","12,79","1.724,73","134,85","0,01","0,17","4,26","12,04","352,13","29,25","0,00","0,01","0,30","10,00","5,83","0,58","0,03","0,35","7,35","12,84","855,11","66,62","0,01","0,12","2,19","12,01","332,94","27,73","0,03","0,38","5,05","11,58","414,89","35,83","0,04","0,51","6,35","12,21","279,27","22,86","0,05","0,92","10,44","17,67","1.966,04","111,29","0,04","0,43","10,14","12,00","135,70","11,31","0,02","0,48","6,38","20,34","274,54","13,50","0,03","0,35","7,72","12,21","779,95","63,86"
CARNE POLLO,"0,87","4,68","71,71","5,39","217.053,88","40.244,28","0,91","5,36","74,57","5,88","37.783,39","6.424,95","1,01","5,70","76,25","5,66","7.388,95","1.305,40","1,00","5,68","73,63","5,65","6.135,45","1.085,66","0,92","4,74","73,53","5,13","24.008,72","4.683,01","1,01","5,32","71,50","5,24","7.320,47","1.397,63","0,80","4,14","72,11","5,18","36.317,60","7.014,40","0,91","4,78","71,31","5,25","30.812,82","5.869,80","0,94","4,71","70,73","5,03","9.979,08","1.985,63","0,71","3,59","64,83","5,03","4.161,27","827,31","1,07","5,53","78,72","5,17","13.390,55","2.588,49","0,74","3,65","63,95","4,96","9.982,48","2.012,93","0,79","4,33","74,85","5,51","4.677,54","848,28","0,60","3,22","64,29","5,37","1.772,53","330,21","0,96","5,87","70,67","6,13","12.521,78","2.043,42","0,84","5,04","82,63","5,98","1.608,31","269,01","0,97","5,28","74,53","5,45","2.993,45","548,93","0,45","2,77","59,57","6,14","6.199,49","1.009,22"
POLLO ENTERO,"0,20","0,78","18,30","3,88","36.150,50","9.324,42","0,23","0,95","20,02","4,21","6.692,45","1.589,13","0,24","1,05","16,77","4,30","1.358,68","315,84","0,26","1,02","22,39","3,95","1.097,73","277,72","0,26","0,95","20,52","3,62","4.785,15","1.320,96","0,30","1,15","25,85","3,84","1.587,55","413,75","0,18","0,67","17,18","3,68","5.880,73","1.599,80","0,16","0,60","15,88","3,74","3.868,43","1.033,40","0,22","0,76","23,26","3,51","1.611,93","459,33","0,15","0,67","13,03","4,35","775,14","178,05","0,26","1,02","26,23","3,87","2.462,76","636,31","0,20","0,76","16,36","3,80","2.080,35","547,92","0,07","0,30","9,27","4,31","318,42","73,96","0,11","0,48","10,46","4,16","262,79","63,23","0,19","0,80","17,46","4,16","1.698,55","408,32","0,09","0,32","12,78","3,64","101,66","27,89","0,34","1,34","24,99","3,92","758,54","193,48","0,08","0,36","12,40","4,37","809,64","185,33"
POLLO FILETES,"0,11","0,87","27,68","7,65","40.225,78","5.258,60","0,13","1,02","29,29","8,11","7.202,63","887,82","0,17","1,34","41,99","7,70","1.730,71","224,90","0,08","0,63","28,65","7,43","681,48","91,76","0,11","0,85","30,21","7,69","4.285,03","556,89","0,10","0,78","25,61","7,78","1.073,67","137,97","0,10","0,73","25,54","7,60","6.398,69","841,55","0,13","0,98","29,17","7,24","6.296,67","869,64","0,09","0,62","29,51","6,96","1.323,49","190,20","0,08","0,53","20,71","6,93","617,90","89,18","0,14","1,05","32,72","7,49","2.553,73","340,81","0,08","0,58","16,50","7,29","1.593,96","218,57","0,17","1,23","36,56","7,26","1.332,57","183,50","0,07","0,57","20,87","7,58","312,73","41,27","0,12","1,02","25,76","8,74","2.186,49","250,22","0,12","0,90","40,57","7,68","287,67","37,43","0,07","0,61","17,92","8,95","346,77","38,75","0,12","0,89","23,22","7,75","2.001,60","258,14"
